date,played
2020-10-15,Maybe
2020-10-16,Maybe
2020-11-07,Yes
2020-11-08,Yes
2020-11-14,Maybe
2020-11-15,Yes
2020-11-21,Yes
2020-11-22,Yes
2020-11-26,Yes
2020-11-27,Yes
2020-11-28,Maybe
2020-12-13,Yes
2020-12-24,Maybe
2020-12-25,Yes
2020-12-27,Maybe
2020-12-28,Yes
2020-12-30,Maybe
