year,historical,paris_lower,paris,paris_higher,current_policy_lower,current_policy_higher,pledges_lower,pledges_higher
1990-01-01,35.9892772411,,,,,,,
1991-01-01,36.3529059806,,,,,,,
1992-01-01,35.5297548065,,,,,,,
1993-01-01,35.7364773912,,,,,,,
1994-01-01,35.8572448217,,,,,,,
1995-01-01,36.6681849423,,,,,,,
1996-01-01,37.3170319101,,,,,,,
1997-01-01,37.6894974076,,,,,,,
1998-01-01,38.0387711589,,,,,,,
1999-01-01,38.2936544724,,,,,,,
2000-01-01,39.2972343,,,,,,,
2001-01-01,39.758757,,,,,,,
2002-01-01,40.40335,,,,,,,
2003-01-01,41.7931882,,,,,,,
2004-01-01,43.1715125,,,,,,,
2005-01-01,44.3958093,,,,,,,
2006-01-01,45.4282082,,,,,,,
2007-01-01,46.5708502,,,,,,,
2008-01-01,46.8618283,,,,,,,
2009-01-01,46.2471801,,,,,,,
2055-01-01,,2.8488792645,5.742147756,7.6112599495,45.8355637,58.9322684,30.3978959916,36.3409183156
2056-01-01,,2.3909089509,5.4404362204,7.1137311984,45.3694633,58.7281594,29.8708679861,35.4388659455
2057-01-01,,1.9329386373,5.1387246848,6.6162024473,44.938204,58.5042274,29.3405830705,34.5785115363
2058-01-01,,1.4749683237,4.8370131492,6.1186736962,44.5655799,58.2747327,28.807232791,33.8277833193
2059-01-01,,1.0169980101,4.5353016136,5.6211449451,44.2430439,58.0621007,28.2959723296,33.1998372088
2060-01-01,,0.5590276965,4.233590078,5.123616194,43.9680021,57.884047,27.8081318414,32.6703475135
2061-01-01,,0.266859727,3.8126384121,4.8904936747,43.667885,57.6713428,27.3094585793,32.2023162562
2062-01-01,,-0.0253082425,3.3916867462,4.6573711554,43.3458889,57.4370522,26.8034802355,31.7739755681
2063-01-01,,-0.317476212,2.9707350802,4.4242486361,42.9927546,57.1942296,26.3026971268,31.4042574427
2064-01-01,,-0.6096441815,2.5497834143,4.1911261168,42.5876237,56.9652296,25.8192722745,31.0732074816
2065-01-01,,-0.901812151,2.1288317484,3.9580035975,42.1448139,56.7485175,25.3681051518,30.7559768441
2066-01-01,,-1.1939801205,1.7078800825,3.7248810782,41.6475156,56.5605614,24.9609592387,30.4512503886
2067-01-01,,-1.48614809,1.2869284165,3.4917585589,41.0845442,56.3904265,24.5934859763,30.1731722466
2068-01-01,,-1.7783160595,0.8659767506,3.2586360396,40.496645,56.2363871,24.2535523865,29.8949341944
2069-01-01,,-2.070484029,0.4450250847,3.0255135203,39.9117886,56.0777051,23.9327047835,29.6145259625
2070-01-01,,-2.3626519985,0.0240734188,2.792391001,39.3638324,55.9233675,23.6273217354,29.3275333565
2071-01-01,,-2.6925253799,-0.1422244128,2.6815081102,38.8919822,55.794428,23.3434986964,29.0480459916
2072-01-01,,-3.0223987613,-0.3085222444,2.5706252194,38.47061,55.6489579,23.0558079657,28.7394652229
2073-01-01,,-3.3522721427,-0.474820076,2.4597423286,38.1083239,55.4851714,22.7668689195,28.4367156746
2074-01-01,,-3.6821455241,-0.6411179075,2.3488594378,37.8014328,55.303195,22.4755084205,28.1420538562
2075-01-01,,-4.0120189055,-0.8074157391,2.237976547,37.5348216,55.1128507,22.1772749514,27.8317032201
2076-01-01,,-4.3418922869,-0.9737135707,2.1270936562,37.3544301,54.906496,21.8759313699,27.5406556354
2077-01-01,,-4.6717656683,-1.1400114023,2.0162107654,37.2261266,54.6971213,21.584778374,27.2631386667
2078-01-01,,-5.0016390497,-1.3063092338,1.9053278746,37.1169575,54.4846968,21.3038149395,27.0285504592
2079-01-01,,-5.3315124311,-1.4726070654,1.7944449838,37.0027673,54.2738774,21.0317521333,26.8309318145
2080-01-01,,-5.6613858125,-1.638904897,1.683562093,36.8746801,54.0658611,20.7681818968,26.664372271
2081-01-01,,-5.8497102974,-1.6772521262,1.3878463732,36.707966,53.8133597,20.5024806812,26.5086659237
2082-01-01,,-6.0380347822,-1.7155993554,1.0921306534,36.5266238,53.4760379,20.238003707,26.3701456606
2083-01-01,,-6.2263592671,-1.7539465846,0.7964149336,36.3441671,53.0773411,19.9760584306,26.2322421741
2084-01-01,,-6.4146837519,-1.7922938138,0.5006992138,36.1682828,52.6400088,19.7175933927,26.0809692905
2085-01-01,,-6.6030082368,-1.830641043,0.204983494,35.990723,52.1806771,19.4649695636,25.921199996
2086-01-01,,-6.7913327216,-1.8689882722,-0.0907322258,35.818852,51.7302558,19.2234850579,25.7501099642
2087-01-01,,-6.9796572065,-1.9073355014,-0.3864479456,35.6535776,51.3074895,18.9925173295,25.5733603747
2088-01-01,,-7.1679816913,-1.9456827306,-0.6821636654,35.4986955,50.907915,18.7752568738,25.3897272442
2089-01-01,,-7.3563061762,-1.9840299598,-0.9778793852,35.3597093,50.5371016,18.5716795187,25.2043526068
2090-01-01,,-7.544630661,-2.022377189,-1.273595105,35.246154,50.2038444,18.3769271665,25.0175773755
2091-01-01,,-7.6923086751,-2.2972736236,-1.3584300074,35.1471412,49.9047474,18.1946878419,24.8270531653
2092-01-01,,-7.8399866892,-2.5721700582,-1.4432649097,35.0670979,49.6342913,18.0115647577,24.6335899272
2093-01-01,,-7.9876647033,-2.8470664928,-1.5280998121,34.9988573,49.3673666,17.8254700634,24.4345201416
2094-01-01,,-8.1353427174,-3.1219629274,-1.6129347144,34.9418241,49.1041906,17.6444116171,24.2321118318
2095-01-01,,-8.2830207315,-3.396859362,-1.6977696168,34.8901523,48.8653516,17.4599135075,24.0326640164
2096-01-01,,-8.4306987456,-3.6717557966,-1.7826045191,34.8399375,48.6571188,17.2756907793,23.8387310321
2097-01-01,,-8.5783767597,-3.9466522312,-1.8674394215,34.7786754,48.4336664,17.0839726163,23.653777968
2098-01-01,,-8.7260547738,-4.2215486658,-1.9522743238,34.712076,48.1903196,16.8850339165,23.4741087186
2099-01-01,,-8.8737327879,-4.4964451004,-2.0371092262,34.6310576,47.9297384,16.6819807149,23.3014309472
2100-01-01,,-9.021410802,-4.771341535,-2.1219441285,34.5430283,47.6784841,16.466030362,23.1311429346
