fips,name,pop
05107,"Phillips County, Arkansas",18151
05109,"Pike County, Arkansas",10714
05111,"Poinsett County, Arkansas",23747
05113,"Polk County, Arkansas",19999
05115,"Pope County, Arkansas",63926
05117,"Prairie County, Arkansas",8138
05119,"Pulaski County, Arkansas",393078
05121,"Randolph County, Arkansas",17934
05123,"St. Francis County, Arkansas",25477
05125,"Saline County, Arkansas",120990
05127,"Scott County, Arkansas",10269
05129,"Searcy County, Arkansas",7898
05131,"Sebastian County, Arkansas",127670
05133,"Sevier County, Arkansas",16947
05135,"Sharp County, Arkansas",17217
05137,"Stone County, Arkansas",12582
05139,"Union County, Arkansas",39089
05141,"Van Buren County, Arkansas",16578
05143,"Washington County, Arkansas",236198
05145,"White County, Arkansas",78725
05147,"Woodruff County, Arkansas",6477
05149,"Yell County, Arkansas",21425
06001,"Alameda County, California",1661584
06003,"Alpine County, California",1159
06005,"Amador County, California",39023
06007,"Butte County, California",223344
06009,"Calaveras County, California",45828
06011,"Colusa County, California",21491
06013,"Contra Costa County, California",1147788
06015,"Del Norte County, California",27692
06017,"El Dorado County, California",190345
06019,"Fresno County, California",990204
06021,"Glenn County, California",28060
06023,"Humboldt County, California",136101
06025,"Imperial County, California",180580
06027,"Inyo County, California",17930
06029,"Kern County, California",892458
06031,"Kings County, California",151090
06033,"Lake County, California",64276
06035,"Lassen County, California",30600
06037,"Los Angeles County, California",10040682
06039,"Madera County, California",155925
06041,"Marin County, California",259441
06043,"Mariposa County, California",17319
06045,"Mendocino County, California",87110
06047,"Merced County, California",273661
06049,"Modoc County, California",8853
06051,"Mono County, California",14395
06053,"Monterey County, California",432977
06055,"Napa County, California",138572
06057,"Nevada County, California",99417
06059,"Orange County, California",3170345
06061,"Placer County, California",391799
06063,"Plumas County, California",18844
06065,"Riverside County, California",2437864
06067,"Sacramento County, California",1537948
06069,"San Benito County, California",61547
06071,"San Bernardino County, California",2162532
06073,"San Diego County, California",3323970
06075,"San Francisco County, California",874784
06077,"San Joaquin County, California",751615
06079,"San Luis Obispo County, California",282517
06081,"San Mateo County, California",765623
06083,"Santa Barbara County, California",444895
06085,"Santa Clara County, California",1924379
06087,"Santa Cruz County, California",273170
06089,"Shasta County, California",179267
06091,"Sierra County, California",2898
06093,"Siskiyou County, California",43516
06095,"Solano County, California",444538
06097,"Sonoma County, California",496801
06099,"Stanislaus County, California",546235
06101,"Sutter County, California",96315
06103,"Tehama County, California",64176
06105,"Trinity County, California",12541
06107,"Tulare County, California",463955
06109,"Tuolumne County, California",54147
06111,"Ventura County, California",845599
06113,"Yolo County, California",218774
06115,"Yuba County, California",77524
08001,"Adams County, Colorado",509844
08003,"Alamosa County, Colorado",16153
08005,"Arapahoe County, Colorado",649980
08007,"Archuleta County, Colorado",13588
08009,"Baca County, Colorado",3570
08011,"Bent County, Colorado",5677
08013,"Boulder County, Colorado",324682
08014,"Broomfield County, Colorado",69444
08015,"Chaffee County, Colorado",19977
08017,"Cheyenne County, Colorado",1999
08019,"Clear Creek County, Colorado",9533
08021,"Conejos County, Colorado",8130
08023,"Costilla County, Colorado",3810
08025,"Crowley County, Colorado",5733
08027,"Custer County, Colorado",4941
08029,"Delta County, Colorado",30758
08031,"Denver County, Colorado",715878
08033,"Dolores County, Colorado",1896
08035,"Douglas County, Colorado",344280
08037,"Eagle County, Colorado",54960
