date,category,value
2022.69268,Other,1018.3
2022.69268,Star,2953.7
2022.68994,Other,1018
2022.68994,Star,2954
2022.6872,Other,1018
2022.6872,Star,2954
2022.68446,Other,1017.6999999999999
2022.68446,Star,2954.3
2022.68172,Other,1016.8
2022.68172,Star,2955.2
2022.67899,Other,1011
2022.67899,Star,2956
2022.67625,Other,1009
2022.67625,Star,2906
2022.67351,Other,1009
2022.67351,Star,2906
2022.67077,Other,1008.7
2022.67077,Star,2906.3
2022.66804,Other,1007.3
2022.66804,Star,2906.7
2022.6653,Other,1007
2022.6653,Star,2907
2022.66256,Other,1008
2022.66256,Star,2861
2022.65982,Other,1008
2022.65982,Star,2861
2022.65708,Other,1008
2022.65708,Star,2861
2022.65435,Other,1008
2022.65435,Star,2807
2022.65161,Other,1008
2022.65161,Star,2807
2022.64887,Other,1008
2022.64887,Star,2807
2022.64613,Other,1008
2022.64613,Star,2807
2022.64339,Other,1008
2022.64339,Star,2807
2022.64066,Other,1006.5
2022.64066,Star,2807.5
2022.63792,Other,1008
2022.63792,Star,2808
2022.63518,Other,1009
2022.63518,Star,2808
2022.63244,Other,1010
2022.63244,Star,2808
2022.62971,Other,1005
2022.62971,Star,2755
2022.62697,Other,1005
2022.62697,Star,2755
2022.62423,Other,1005.5
2022.62423,Star,2755.5
2022.62149,Other,1004.5
2022.62149,Star,2756.5
2022.61875,Other,1004.3000000000001
2022.61875,Star,2757.7
2022.61602,Other,1003.6
2022.61602,Star,2758.3
2022.61328,Other,1004
2022.61328,Star,2759
2022.61054,Other,1004
2022.61054,Star,2713
2022.6078,Other,1003.5
2022.6078,Star,2713.5
2022.60507,Other,1003.5
2022.60507,Star,2662.5
2022.60233,Other,999.5
2022.60233,Star,2664.5
2022.59959,Other,999
2022.59959,Star,2666
2022.59685,Other,999
2022.59685,Star,2666
2022.59411,Other,999
2022.59411,Star,2666
2022.59138,Other,999
2022.59138,Star,2666
2022.58864,Other,994
2022.58864,Star,2666
2022.5859,Other,993.5
2022.5859,Star,2666.5
2022.58316,Other,993
2022.58316,Star,2667
2022.58042,Other,993
2022.58042,Star,2667
2022.57769,Other,994
2022.57769,Star,2667
2022.57495,Other,995
2022.57495,Star,2667
2022.57221,Other,991
2022.57221,Star,2667
2022.56947,Other,990.9
2022.56947,Star,2667
2022.56674,Other,990.1
2022.56674,Star,2667
2022.564,Other,989.5000000000001
2022.564,Star,2667.5
2022.56126,Other,990
2022.56126,Star,2668
2022.55852,Other,987.1
2022.55852,Star,2616
2022.55578,Other,987
2022.55578,Star,2616
2022.55305,Other,988
2022.55305,Star,2570
2022.55031,Other,988
2022.55031,Star,2570
2022.54757,Other,989
2022.54757,Star,2570
2022.54483,Other,988.4000000000001
2022.54483,Star,2570.5
2022.54209,Other,989.1000000000001
2022.54209,Star,2571
2022.53936,Other,990.1
2022.53936,Star,2518
2022.53662,Other,990
2022.53662,Star,2518
2022.53388,Other,986
2022.53388,Star,2518
2022.53114,Other,986
2022.53114,Star,2518
2022.52841,Other,984
2022.52841,Star,2518
2022.52567,Other,983.5
2022.52567,Star,2518.5
2022.52293,Other,984
2022.52293,Star,2473
2022.52019,Other,984
2022.52019,Star,2473
2022.51745,Other,983.9000000000001
2022.51745,Star,2473
2022.51472,Other,984
2022.51472,Star,2473
2022.51198,Other,984.1
2022.51198,Star,2420
2022.50924,Other,983.5
2022.50924,Star,2420.5
2022.5065,Other,983
2022.5065,Star,2421
2022.50376,Other,983
2022.50376,Star,2421
2022.50103,Other,983
2022.50103,Star,2421
2022.49829,Other,982
2022.49829,Star,2421
2022.49555,Other,981.9
2022.49555,Star,2421
2022.49281,Other,979.9999999999999
2022.49281,Star,2421
2022.49008,Other,980.9999999999999
2022.49008,Star,2421
2022.48734,Other,982.0999999999999
2022.48734,Star,2421
2022.4846,Other,982
2022.4846,Star,2421
2022.48186,Other,982
2022.48186,Star,2421
2022.47912,Other,982
2022.47912,Star,2421
2022.47639,Other,982
2022.47639,Star,2421
2022.47365,Other,976.4
2022.47365,Star,2421.5
2022.47091,Other,974
2022.47091,Star,2423
2022.46817,Other,973
2022.46817,Star,2424
2022.46543,Other,974
2022.46543,Star,2424
2022.4627,Other,970.1
2022.4627,Star,2424
2022.45996,Other,970
2022.45996,Star,2424
2022.45722,Other,970.0999999999999
2022.45722,Star,2371
2022.45448,Other,971
2022.45448,Star,2371
2022.45175,Other,971
2022.45175,Star,2371
2022.44901,Other,971
2022.44901,Star,2371
2022.44627,Other,971
2022.44627,Star,2371
2022.44353,Other,970.9
2022.44353,Star,2371
2022.44079,Other,971
2022.44079,Star,2371
2022.43806,Other,971
2022.43806,Star,2371
2022.43532,Other,971
2022.43532,Star,2371
2022.43258,Other,971
2022.43258,Star,2371
2022.42984,Other,972
2022.42984,Star,2371
2022.4271,Other,971.5000000000001
2022.4271,Star,2371.5
2022.42437,Other,971.0000000000001
2022.42437,Star,2372
2022.42163,Other,970.5000000000001
2022.42163,Star,2372.5
2022.41889,Other,968
2022.41889,Star,2373
2022.41615,Other,966.5
2022.41615,Star,2373.5
2022.41342,Other,966.5
2022.41342,Star,2374.5
2022.41068,Other,966.1
2022.41068,Star,2375
2022.40794,Other,966
2022.40794,Star,2375
2022.4052,Other,967
2022.4052,Star,2375
2022.40246,Other,967
2022.40246,Star,2375
2022.39973,Other,967
2022.39973,Star,2375
2022.39699,Other,967.0000000000001
2022.39699,Star,2375
2022.39425,Other,966
2022.39425,Star,2375
2022.39151,Other,966.0000000000001
2022.39151,Star,2375
2022.38877,Other,965.9999999999999
2022.38877,Star,2375
2022.38604,Other,966
2022.38604,Star,2375
2022.3833,Other,966.5
2022.3833,Star,2375.5
2022.38056,Other,965
2022.38056,Star,2376
2022.37782,Other,963.0999999999999
2022.37782,Star,2376
2022.37509,Other,964.9999999999999
2022.37509,Star,2323
2022.37235,Other,964.9999999999999
2022.37235,Star,2323
2022.36961,Other,964.9999999999999
2022.36961,Star,2323
2022.36687,Other,964.9
2022.36687,Star,2323
2022.36413,Other,966
2022.36413,Star,2270
2022.3614,Other,966
2022.3614,Star,2217
2022.35866,Other,966
2022.35866,Star,2217
2022.35592,Other,966
2022.35592,Star,2217
2022.35318,Other,966
2022.35318,Star,2217
2022.35044,Other,965
2022.35044,Star,2217
2022.34771,Other,965
2022.34771,Star,2217
2022.34497,Other,965
2022.34497,Star,2217
2022.34223,Other,966.9
2022.34223,Star,2164
2022.33949,Other,965.9999999999999
2022.33949,Star,2164
2022.33676,Other,967
2022.33676,Star,2164
2022.33402,Other,966.5
2022.33402,Star,2164.5
2022.33128,Other,965
2022.33128,Star,2165
2022.32854,Other,965
2022.32854,Star,2165
2022.3258,Other,968
2022.3258,Star,2165
2022.32307,Other,967
2022.32307,Star,2112
2022.32033,Other,970
2022.32033,Star,2112
2022.31759,Other,969
2022.31759,Star,2113
2022.31485,Other,968.5
2022.31485,Star,2114.5
2022.31211,Other,969
2022.31211,Star,2115
2022.30938,Other,968.5
2022.30938,Star,2115.5
2022.30664,Other,971
2022.30664,Star,2116
2022.3039,Other,973
2022.3039,Star,2116
2022.30116,Other,974
2022.30116,Star,2063
2022.29843,Other,973.5
2022.29843,Star,2063.5
2022.29569,Other,972
2022.29569,Star,2065
2022.29295,Other,974
2022.29295,Star,2066
2022.29021,Other,980
2022.29021,Star,2066
2022.28747,Other,981
2022.28747,Star,2066
2022.28474,Other,980
2022.28474,Star,2066
2022.282,Other,979.7
2022.282,Star,2066.3
2022.27926,Other,980
2022.27926,Star,2068
2022.27652,Other,978.5
2022.27652,Star,2070.5
2022.27379,Other,978.4
2022.27379,Star,2071.7
2022.27105,Other,977.5
2022.27105,Star,2072.5
2022.26831,Other,980
2022.26831,Star,2073
2022.26557,Other,983
2022.26557,Star,2073
2022.26283,Other,984.6
2022.26283,Star,2073.3
2022.2601,Other,986
2022.2601,Star,2074
2022.25736,Other,984.8
2022.25736,Star,2075.2
2022.25462,Other,984
2022.25462,Star,2076
2022.25188,Other,986
2022.25188,Star,2076
2022.24914,Other,986
2022.24914,Star,2076
2022.24641,Other,986
2022.24641,Star,2076
2022.24367,Other,987
2022.24367,Star,2077
2022.24093,Other,987
2022.24093,Star,2078
2022.23819,Other,984.7
2022.23819,Star,2078.3
2022.23546,Other,984.3000000000001
2022.23546,Star,2078.7
2022.23272,Other,986
2022.23272,Star,2079
2022.22998,Other,986
2022.22998,Star,2079
2022.22724,Other,986
2022.22724,Star,2079
2022.2245,Other,986
2022.2245,Star,2079
2022.22177,Other,985.5
2022.22177,Star,2079.5
2022.21903,Other,984.5
2022.21903,Star,2080.5
2022.21629,Other,985
2022.21629,Star,2081
2022.21355,Other,985
2022.21355,Star,2081
2022.21081,Other,981
2022.21081,Star,2028
2022.20808,Other,979
2022.20808,Star,2028
2022.20534,Other,979
2022.20534,Star,2028
2022.2026,Other,979
2022.2026,Star,2028
2022.19986,Other,980
2022.19986,Star,2028
2022.19713,Other,980
2022.19713,Star,2028
2022.19439,Other,982
2022.19439,Star,2028
2022.19165,Other,982
2022.19165,Star,2028
2022.18891,Other,982
2022.18891,Star,2028
2022.18617,Other,981.6999999999999
2022.18617,Star,2028.3
2022.18344,Other,976.3
2022.18344,Star,1981.7
2022.1807,Other,975
2022.1807,Star,1983
2022.17796,Other,976
2022.17796,Star,1983
2022.17522,Other,976.5
2022.17522,Star,1983.5
2022.17248,Other,969
2022.17248,Star,1984
2022.16975,Other,969
2022.16975,Star,1984
2022.16701,Other,965.4000000000001
2022.16701,Star,1937.7
2022.16427,Other,965.7
2022.16427,Star,1938.3
2022.16153,Other,965
2022.16153,Star,1939
2022.1588,Other,963
2022.1588,Star,1939
2022.15606,Other,957
2022.15606,Star,1939
2022.15332,Other,957
2022.15332,Star,1939
